product_code,product_name_en,product_name_ko,rows,sentiment_pos,sentiment_neg,sentiment_neu,top_categories,neg_excerpt_1,neg_excerpt_2,neg_excerpt_3,neg_excerpt_4,neg_excerpt_5
GS26U,Galaxy S26 Ultra,갤럭시 S26 울트라,2091,641,249,1201,comparison:808|model_mention:467|price:461|display:321|camera:293,"Comparing Galaxy S26 Ultra Coupang vs. Naver Based on the payment amount, Coupang is cheaper. Naver is N point accumulation: 37,778 won Review accumulation: 30,000 won Coupang too Review accumulation:","The S23’s 8GB of RAM was frustrating. Should I just go with the S26U RAM of 12GB? I heard that if you buy 1TB, you get 16GB of RAM. Can you feel the difference between 12 and 16?","I regret going from Fold 6 to 26 Ultra. I've been using it for about a month, but I still think the Fold is better. The case arrived late, so I used the phone for 3 days over the weekend, and at that ","Everyone around me says it's pretty and looks good, so much so that I regret switching to 26 wool, but the downside is that I can't control the heat yet. In the end, I wonder if thickness has any mean","The YouTube app is 26 Ultra, right? What's the problem?"
GS26,Galaxy S26,갤럭시 S26,1194,422,132,640,comparison:651|model_mention:458|price:277|software:200|performance:184,"It seems like the Samsung event is causing damage to many people's property. S24, S25 used and used prices plummet S26 pre-order buyers are annoyed. S27 pre-order buyer Hansan Damn.",It is not clear whether it is S23 or S26,"Samsung begins testing One UI 9 for the Galaxy S25 Samsung is speeding up Leaks reveal that Samsung has started testing One UI 9 on the Galaxy S25 series earlier than expected, and a public beta could","I'm thinking of buying an S26, but the Ultra seems heavy and the watch is a problem. I decided on the regular Gel S26, I want to live with Labang or Coupang But what should I do with the watch?? Shoul","Do you regret buying the S26 basic model? It's now 23 basic. It's summer so let's open it once in a while 26 is even worse,,? - dc official App"
GS25,Galaxy S25,갤럭시 S25,947,261,125,561,comparison:544|model_mention:377|software:151|price:131|battery:126,The S25 is still in service. There aren't many used ones. 24 is a ridiculously high number.,It's been 7 days since the s25 8.5 update and the fever is too severe. It's too hot even if I don't do anything??,"Is it because of s25 frame limit gos? If you turn on YouTube and Samb together, It starts to heat up and the screen refresh rate is fixed at 60. Is this because of gos?","S25 Normal Why is it heavy and uncomfortable to operate with one hand? When I used the Galaxy Nexus, it was nice to use because it was curved. The pixels are small Am I the only one feeling uncomforta",The Wear OS app refuses to send SMS via the smartwatch's own LTE modem when disconnected from the phone. It strictly forces a cloud sync (Remote Connection). 3rd-party apps prove the watch hardware ca
GS2,Galaxy S2,갤럭시 S2,830,422,154,254,comparison:55|camera:41|battery:32|performance:31|display:31,"Qualcomm intends to reduce the price of Snapdragon chips for Samsung because it is afraid of Exynos, guys!! Qualcomm intends to reduce the price of Snapdragon chips for Samsung because it is afraid of","Galaxy S27 camera design is all changed ㄷㄷㄷjpg Of course, it's not official. It's a rumor, but the camera arrangement is changed to horizontal. Probably trying to add MagSafe. I couldn't add MagSafe d",Galaxy S27 without Exynos?! Samsung should back down and change cell phone chips Samsung may be forced to turn to Qualcomm chips again when launching the Galaxy S27 series. This is because new rumors ,"Processor Crisis in Galaxy S27 Series Due to increasing hardware costs and production difficulties, the South Korean technology giant; It is trying to strike a difficult balance between its own Exynos","Your issue reminds me of my Galaxy S2 Epic, which had a ghost touch issue when I had one or two bars of service. I'm guessing your Ultra is a cellular version?"
GZF8,Galaxy Z Fold8,갤럭시 Z 폴드8,799,179,92,528,comparison:519|model_mention:344|display:173|camera:145|design:120,Is it okay to buy the Fold 7 now with Onnuri benefits? I think the Fold 8 is a minor upgrade than I thought. Wouldn't it be a good idea to buy a new Fold 7 for around 155GB based on 256GB? Even if the,"Compared to when the Fold 8 comes out, will it be more expensive than it is now?","Compared to when the Fold 8 comes out, will it be more expensive than it is now?","Compared to when the Fold 8 comes out, will it be more expensive than it is now?","Compared to when the Fold 8 comes out, will it be more expensive than it is now?"
GS3,Galaxy S3,갤럭시 S3,788,408,160,220,comparison:11|model_mention:9|software:4|connectivity:2|battery:2,"wagga wrote: In 2011 I wanted to buy the SII, the cell phone shop didn't have it. They sold me the HTC Sensation, it was the biggest bad purchase in the cell phone sector ever. The device was worse an","> However, for the life of me I can't remember exactly when it started to suck. Whatever the date, it's tightly coupled with the explosion of internet-capable mobile devices. My personal pick would be","Prehistoric ""default devices"" list in Chrome Devtools The default list of devices in Chrome Devtools is so out of date. Some of these devices are long gone &#x2F; forgotten, while newer ones are missi","I used to be on android, but after the Samsung Galaxy S3 started fucking with my settings in updates I went to Apple and have been on iPhones ever since. Specifically what sticks in my memory the most",Been using this since my Galaxy S3 days and is currently installed on my Nothing 2A. The switch will be painful.
GZF7,Galaxy Z Fold7,갤럭시 Z 폴드7,774,235,118,421,comparison:418|model_mention:289|display:151|price:134|accessories:96,Can a Galaxy returned by Coupang also receive Onnuri benefits? I want to buy z fold 7,"If you go from Fold to Ultra, you will definitely regret it, right? I'm thinking of changing my phone because they said they would give me Onnuri Payback, but I wonder if it's right to go to Paul 7 ev","The person who bought the Fold 7 due to the announcement was disappointed. I'm a Fold 6, so my 2-year contract is almost up, so I'll be switching to the bar type in a little while, but Fold 7 owners s","Is it normal for the Fold 7 to not unfold 180 degrees? When I unfold it, it seems to unfold a little awkwardly. If you apply more force after unfolding it, it seems to unfold more... Is it normal for ","Is it protected by trash 1nm plastic? LOL If you're going to waste that kind of stuff, just use the Fold 7 phone."
GS25U,Galaxy S25 Ultra,갤럭시 S25 울트라,679,289,107,283,comparison:228|software:114|price:114|others:111|camera:104,"S25 Ultra One UI 8.5 Touch chewing (slow response) recorded It could be because of my impatient personality, but there was no problem at all with 8.0. - dc official App","It's not a problem that happened a few months ago, but there's never been a price defense like this before. Last month, the actual purchase price of 25 Ultra 512GB was 1.2 million won, so it is natura","Z Flip 3 S10+ Note 20 Ultra Z Flip 3 S20+ S22 Ultra S23 Ultra Fold, etc. I used a backup restore without any initialization every time I changed the device, and there were no major problems. From the ",s25 wool 512 unopened 80 is this a scam? They say we should do direct trading. Because they said they don’t have time today I will send you an invoice and ask you to receive it and transfer it to my b,"S25 Ultra battery loss, does it get better with One UI 8.5 update? yep?"
GS4,Galaxy S4,갤럭시 S4,627,339,126,162,comparison:5|model_mention:4|battery:3|camera:3|display:3,"Quote: ""First cell phone in the world with 10x native zoom?"" End of quote Could it be that you have forgotten the Samsung Galaxy S4 Zoom? In 2013 it already had 10x optical zoom.",GrapheneOS only supports devices with isolated radios including but not limited to cellular. It's one of the hardware requirements: https://grapheneos.org/faq#future-devices The radios on the supporte,"According to the specs it&#x27;s 154 x 68 x 8.6 mm and 182 grams, so it&#x27;s more compact than most phones of 2025 but not really compact. My Samsung A40 is smaller and lighter but it&#x27;s 4 years",The Galaxy S4 was a very popular phone model and even it is quite old finding a replacement battery shouldn't be a problem. But the posted images indicates that it may be fake S3/S4 phone and for that,"IBM saw their internal tech support requirement plummet when they switched to MacBooks. I've never understood companies that cheap out on laptops. Even if you only pay someone minimum wage (€1800), a "
GN7,Galaxy Note 7,갤럭시 노트 7,530,146,194,190,model_mention:180|comparison:168|battery:84|software:52|price:46,"Note 7 I'm the type of person who uses my phone until it breaks, and I find it quite annoying to change it. It usually lasts for an average of 5 years. My current phone is Note 7FE, and if I use it fo",Note 7 It's already been 9 years. Galaxy Note 7 battery explosion incident. The situation is the same. incident occurred government investigation samsung investigation Investigation by three credible ,"galaxy fold glitches I bought it as a gift for my wife, but after not using it for a few months, I kept it in storage after charging the battery to 80% because it was heavy. When I opened the Fold 2, ",Note7 http://www.antiscj.or.kr/technote7/board.php?board=aboard8 Wow... these guys are really the opening act. The site above seems to be a counseling center for people who have been victims of Shinch,of course Samsung will blame it on the focus on AI and other nonsense instead of admitting they are unable to compete with domestic Chinese brands and are losing hard ever since they the applied doubl
